document_id,status,file_path,checksum,actual_pages,file_size_bytes,error_message,attempts,duration_seconds,duplicate_of
ACT-01,SKIPPED,data\raw\acts\ACT-01_Tax_Cuts_and_Jobs_Act_of_2017.pdf,4f9ad9b1029a98a99c94b46e7d06b57251e199b6fb502b062648a7dee7c0d00e,186,684657,,0,0.0,
ACT-02,SKIPPED,data\raw\acts\ACT-02_Patient_Protection_and_Affordable_Care_Act.pdf,f5112f582ef4e15808cbcf5cb37ae21b6d7b66ee0166158898a7ce6b4562ac50,906,2522301,,0,0.0,
ACT-03,SKIPPED,data\raw\acts\ACT-03_CARES_Act.pdf,67f5deb7607b8a4d09301cbdaf6d15402f632eb1ff74f5192d17d68eba0ece5d,335,1017566,,0,0.0,
ACT-04,SKIPPED,data\raw\acts\ACT-04_Dodd-Frank_Wall_Street_Reform_Act.pdf,8460069ded90a39c98fffe52d169d021b91335cf0540138f30f9778084271466,849,2257890,,0,0.0,
ACT-05,SKIPPED,data\raw\acts\ACT-05_Sarbanes-Oxley_Act_of_2002.pdf,f6666256313bbaddac941da3f5bda04645e5abaf08a6c53394eef2d26a93a127,66,290864,,0,0.0,
ACT-06,SKIPPED,data\raw\acts\ACT-06_Employee_Retirement_Income_Security_Act.pdf,24e8e01d105b1911592c1fa94c926943f5765749540f2ac3fabdefe23897227a,207,38465941,,0,0.0,
ACT-07,SKIPPED,data\raw\acts\ACT-07_Internal_Revenue_Code_of_1986_Title_26.pdf,bda4dbc76e00e4968183c7c07ba198605bf6a7c6bd9e50369a01e147b86f7963,4215,16600275,,0,0.0,
ACT-08,SKIPPED,data\raw\acts\ACT-08_Inflation_Reduction_Act_of_2022.pdf,5bd9bebe719d3d1738e751fe7978ef7bf05167ed8150471f306e010185baed4f,274,876749,,0,0.0,
ACT-09,SKIPPED,data\raw\acts\ACT-09_SECURE_Act_of_2019.pdf,d724cc183016bdd5408a523a4fbed5326399decae4e50a4315cead2475c47aa8,716,2002962,,0,0.0,
ACT-10,SKIPPED,data\raw\acts\ACT-10_American_Taxpayer_Relief_Act_of_2012.pdf,ca3309b04022661cceca1066b0f031da577d0a772bc99418fe393b7bb8a8258a,59,348308,,0,0.01,
ACT-11,SKIPPED,data\raw\acts\ACT-11_HIPAA_of_1996.pdf,377ed1f8520e1f3b31b8a24b713f9c9833a03f4a862edbd50ea51c57b66084d4,169,733655,,0,0.01,
ACT-12,SKIPPED,data\raw\acts\ACT-12_Economic_Growth_Tax_Relief_Reconciliation_Act.pdf,87ea9074fe1c89e28b7f4665f5d17191535407768aa41bcbafdda577c42b7b19,114,465193,,0,0.0,
ACT-13,SKIPPED,data\raw\acts\ACT-13_Taxpayer_Relief_Act_of_1997.pdf,bf11ff77699749e3e9ee031a6abcc6631c15c26a983f6c7f5b5dde81bddf7277,317,1234725,,0,0.0,
ACT-14,SKIPPED,data\raw\acts\ACT-14_Bipartisan_Budget_Act_of_2015.pdf,af33de28e5f2b17ee0a86fca51b3c1a989dbda25acdfc95194293ea729e08544,57,340275,,0,0.0,
ACT-15,SKIPPED,data\raw\acts\ACT-15_USA_PATRIOT_Act.pdf,bed9884cea6a70e81f8d42a78d2301149ba9176cbbd6ad74b36e5a2dcdbfc0a2,132,494039,,0,0.0,
ACT-16,SKIPPED,data\raw\acts\ACT-16_Protecting_Americans_from_Tax_Hikes_PATH_Act.pdf,0733ab595bd43d1d73d138885ca1eff3484e056c25e0867423c442a4c8824003,888,2407080,,0,0.0,
ACT-17,SKIPPED,data\raw\acts\ACT-17_Foreign_Account_Tax_Compliance_Act_FATCA.pdf,8b90202d771910fd349517c1ae3c2b8a2ed555bbe4ae7ead950195d27460cbe5,48,244314,,0,0.0,
ACT-18,SKIPPED,data\raw\acts\ACT-18_Fair_Labor_Standards_Act_of_1938.pdf,ac28ef8a4492ae9795488207cc59863994acb52a02fe7a8e611f685aeaf1e91a,64,14372426,,0,0.0,
ACT-19,SKIPPED,data\raw\acts\ACT-19_Jobs_and_Growth_Tax_Relief_Reconciliation_Act_of_2003.pdf,88531187778d09089d789aac40060ca27acf30933acbb3802dd393c996014e08,18,165039,,0,0.0,
ACT-20,SKIPPED,data\raw\acts\ACT-20_American_Rescue_Plan_Act_of_2021.pdf,d86676ff491d31691b4d18e428e59632586704fd35c6d7752ba1019351e3671b,243,793794,,0,0.0,
JUDG-01,SKIPPED,data\raw\court_judgments\JUDG-01_Commissioner_v_Glenshaw_Glass_Co.pdf,85487d2dd75e015586f263662ad6efdb4a2399b3120692afc1d8af7ae650dae2,8,226526,,0,0.0,
JUDG-02,SKIPPED,data\raw\court_judgments\JUDG-02_Gregory_v_Helvering.pdf,2ea99fae7bf776a89c84205cc67f98043acffe59ed7cfea2d3fd004077a5e377,6,194618,,0,0.0,
JUDG-03,SKIPPED,data\raw\court_judgments\JUDG-03_Eisner_v_Macomber.pdf,f4ab8e4ad3a639d7b1d698d21fc512cde045bd5b4493ad0e129ad643a97c1418,50,1681735,,0,0.0,
JUDG-04,SKIPPED,data\raw\court_judgments\JUDG-04_Welch_v_Helvering.pdf,5bf34627652910ec2b18d74b780513b4aa7dca0baf043870efed6b33a0368419,6,200952,,0,0.0,
JUDG-05,SKIPPED,data\raw\court_judgments\JUDG-05_INDOPCO_Inc_v_Commissioner.pdf,ed780171bff0ab92333990b713257fbad1f6d9a602d09ecf4dccf4a3796e6076,12,389182,,0,0.0,
JUDG-06,SKIPPED,data\raw\court_judgments\JUDG-06_Lucas_v_Earl.pdf,e9dfcb86db927fd89bf53532934c8b0bbf22ce1dda16d7e03e5e246d8345301e,5,166712,,0,0.0,
JUDG-07,SKIPPED,data\raw\court_judgments\JUDG-07_Helvering_v_Horst.pdf,41935e3cb1a4529e2eb76416a125d2d03f57bb26cf85fe254f62c622477a5539,11,370764,,0,0.0,
JUDG-08,SKIPPED,data\raw\court_judgments\JUDG-08_Commissioner_v_Culbertson.pdf,9714914b3fdde298515161dde43f7650032ab32c6c9520082279aaaad5fcff10,22,697318,,0,0.0,
JUDG-09,SKIPPED,data\raw\court_judgments\JUDG-09_Chevron_USA_v_NRDC.pdf,b71f216d9e9557c1164069b32b61357073eeae7b10d7b931801a12eab15a0dfd,30,906227,,0,0.0,
JUDG-10,SKIPPED,data\raw\court_judgments\JUDG-10_IRS_PLR_202201001.pdf,936aadabe5f0fefe0b094d455cd5c2ce520c557fcc2ebb10723d590a286c3fc0,4,80163,,0,0.0,
JUDG-11,SKIPPED,data\raw\court_judgments\JUDG-11_IRS_PLR_202202001.pdf,a3736bd7066a8d69751ec929f79967c5578ad5d77c03c7f7efb7b76a52e5274c,4,80000,,0,0.0,
JUDG-12,SKIPPED,data\raw\court_judgments\JUDG-12_IRS_PLR_202203001.pdf,c79a6c8b3ec2f2e05800895c5bdf32db1e86a24fbf7c1a732012af61d0937d63,5,113912,,0,0.0,
JUDG-13,SKIPPED,data\raw\court_judgments\JUDG-13_IRS_PLR_202204001.pdf,5c682ba5ebae8b3ec9e881fe1353299d363cd1383216b001d9d8cfd43d7a91a0,4,79149,,0,0.0,
JUDG-14,SKIPPED,data\raw\court_judgments\JUDG-14_IRS_PLR_202205001.pdf,43183083bd987a1e289a2f4676bf28967e189acead661354853c8ca4c2110dc8,6,90744,,0,0.0,
JUDG-15,SKIPPED,data\raw\court_judgments\JUDG-15_Arkansas_Best_Corp_v_Commissioner.pdf,bf04cac76de58eea5ebf99461a63bfdd1b267d2d9769027fb800ddb5d473ed88,12,366301,,0,0.0,
JUDG-16,SKIPPED,data\raw\court_judgments\JUDG-16_IRS_PLR_202206001.pdf,2f531b7f9b28e748dd284c920cb854cc5fa6c715a7f8d0639932de2b4609e7d3,6,95171,,0,0.0,
JUDG-17,SKIPPED,data\raw\court_judgments\JUDG-17_United_States_v_Davis.pdf,4bdfa3e4bb18c9306f9cd88ffb49be1bb182e20ca193084a28f2e22a3e8e5bb1,11,321389,,0,0.0,
JUDG-18,SKIPPED,data\raw\court_judgments\JUDG-18_Commissioner_v_Duberstein.pdf,e643221d3838e4e9e164a4366ce7d1cdd58d30ba498a22f775df5a40308bbbb6,21,654030,,0,0.0,
JUDG-19,SKIPPED,data\raw\court_judgments\JUDG-19_IRS_PLR_202207001.pdf,e00464ba8b15edc5d01e07cf543cccd47fa8ec74db6306d221abb50e55dd9e3a,4,84756,,0,0.0,
JUDG-20,SKIPPED,data\raw\court_judgments\JUDG-20_Commissioner_v_Tufts.pdf,fe9842315a81884279686871e7cd4fa57a9810327a73e6aa7b7a6c478ab9f7d1,21,761835,,0,0.0,
JUDG-21,SKIPPED,data\raw\court_judgments\JUDG-21_IRS_PLR_202208001.pdf,baca0cf0fa1d3d5f8947cc50feaebed79afa4956f21b4b1859c27e7c0aab967d,9,136601,,0,0.0,
JUDG-22,SKIPPED,data\raw\court_judgments\JUDG-22_Cottage_Savings_Assn_v_Commissioner.pdf,dfa9a0c813c9bd3827f2eff9fde02b71c13d24dbd65852e4eedc1d3fc38cc851,19,547991,,0,0.0,
JUDG-23,SKIPPED,data\raw\court_judgments\JUDG-23_Schlude_v_Commissioner.pdf,c612157c421ce62c4393de92e9dbf8ada91978a34b3709e68a8220a74a5cc66b,16,497122,,0,0.0,
JUDG-24,SKIPPED,data\raw\court_judgments\JUDG-24_Higgins_v_Commissioner.pdf,657e33ace234c5bad3c598d3e7d30fa54b4dc191c752058f7711f89e1deba196,7,221720,,0,0.0,
JUDG-25,SKIPPED,data\raw\court_judgments\JUDG-25_Frank_Lyon_Co_v_United_States.pdf,5574236f705286836cfcf8dc017c3b5cc11a9d9e8a6e2b4a5c751edfbb656601,28,962481,,0,0.0,
