document_id,status,pages_processed,characters_removed,duration_seconds,warnings,error_message
ACT-01,SUCCESS,186,1622,0.08,,
ACT-05,SUCCESS,66,606,0.03,,
ACT-03,SUCCESS,335,3674,0.11,,
ACT-06,SUCCESS,207,3042,0.08,,
ACT-08,SUCCESS,274,2792,0.09,,
ACT-04,SUCCESS,849,9920,0.28,,
ACT-02,SUCCESS,906,10380,0.31,,
ACT-10,SUCCESS,59,428,0.03,,
ACT-12,SUCCESS,114,808,0.03,,
ACT-11,SUCCESS,169,1564,0.06,,
ACT-14,SUCCESS,57,538,0.02,,
ACT-15,SUCCESS,132,1346,0.03,,
ACT-13,SUCCESS,317,2816,0.11,,
ACT-17,SUCCESS,48,268,0.01,,
ACT-18,WARNING,64,182,0.02,"Page 2: PyMuPDF extraction failed or yielded 0 characters. Used pdfplumber fallback.; Page 4: PyMuPDF extraction failed or yielded 0 characters. Used pdfplumber fallback.; Page 64: PyMuPDF extraction failed or yielded 0 characters. Used pdfplumber fallback.; Empty text (0 chars) on 3 pages: [2, 4, 64]",
ACT-19,SUCCESS,18,102,0.02,,
ACT-09,SUCCESS,716,7788,0.25,,
JUDG-01,SUCCESS,8,56,0.01,,
JUDG-02,SUCCESS,6,64,0.0,,
JUDG-03,SUCCESS,50,628,0.02,,
JUDG-04,SUCCESS,6,56,0.0,,
JUDG-05,SUCCESS,12,188,0.0,,
JUDG-06,SUCCESS,5,66,0.0,,
JUDG-07,SUCCESS,11,126,0.0,,
JUDG-08,SUCCESS,22,236,0.0,,
JUDG-09,SUCCESS,30,316,0.0,,
JUDG-10,SUCCESS,4,19,0.01,,
JUDG-11,SUCCESS,4,21,0.0,,
JUDG-12,SUCCESS,5,79,0.0,,
JUDG-13,SUCCESS,4,25,0.0,,
JUDG-14,SUCCESS,6,9,0.0,,
JUDG-15,SUCCESS,12,170,0.02,,
JUDG-16,SUCCESS,6,13,0.0,,
JUDG-17,SUCCESS,11,114,0.0,,
ACT-20,SUCCESS,243,2550,0.08,,
JUDG-19,SUCCESS,4,7,0.01,,
JUDG-18,SUCCESS,21,180,0.01,,
JUDG-21,SUCCESS,9,31,0.0,,
JUDG-20,SUCCESS,21,290,0.0,,
JUDG-22,SUCCESS,19,258,0.0,,
JUDG-23,SUCCESS,16,150,0.0,,
JUDG-24,SUCCESS,7,98,0.0,,
IRS-01,SUCCESS,2,0,0.02,,
JUDG-25,SUCCESS,28,228,0.02,,
IRS-03,SUCCESS,28,1271,0.02,,
IRS-02,SUCCESS,59,2213,0.03,,
IRS-04,SUCCESS,36,1531,0.03,,
IRS-06,SUCCESS,99,7185,0.08,,
IRS-05,SUCCESS,142,7466,0.11,,
ACT-16,SUCCESS,888,9464,0.34,,
IRS-07,SUCCESS,57,1800,0.03,,
IRS-09,SUCCESS,31,1544,0.02,,
IRS-08,SUCCESS,62,2024,0.03,,
IRS-10,SUCCESS,27,801,0.02,,
IRS-12,SUCCESS,27,789,0.02,,
IRS-11,SUCCESS,48,1541,0.03,,
IRS-15,SUCCESS,18,612,0.02,,
IRS-13,SUCCESS,42,3222,0.03,,
IRS-14,SUCCESS,40,1477,0.03,,
IRS-16,SUCCESS,18,592,0.01,,
IRS-18,SUCCESS,33,1226,0.03,,
IRS-19,SUCCESS,27,926,0.02,,
IRS-17,SUCCESS,62,1494,0.03,,
IRS-22,SUCCESS,23,759,0.02,,
IRS-20,SUCCESS,64,2527,0.03,,
IRS-23,SUCCESS,23,641,0.01,,
IRS-24,SUCCESS,71,1588,0.03,,
COM-01,SUCCESS,9,67,0.01,,
IRS-21,SUCCESS,117,4355,0.08,,
COM-03,SUCCESS,5,34,0.0,,
COM-04,SUCCESS,3,19,0.0,,
IRS-25,SUCCESS,81,2875,0.05,,
COM-06,SUCCESS,5,8,0.0,,
COM-07,SUCCESS,4,24,0.0,,
COM-05,SUCCESS,11,22,0.02,,
COM-08,SUCCESS,5,55,0.0,,
COM-09,SUCCESS,7,16,0.0,,
COM-10,SUCCESS,2,6,0.0,,
COM-11,SUCCESS,5,69,0.0,,
COM-12,SUCCESS,6,26,0.0,,
COM-13,SUCCESS,4,19,0.0,,
COM-14,SUCCESS,5,49,0.01,,
COM-15,SUCCESS,1,0,0.01,,
COM-02,SUCCESS,226,876,0.06,,
REG-03,SUCCESS,630,33366,0.33,,
REG-01,SUCCESS,685,43326,0.38,,
REG-02,SUCCESS,741,43152,0.39,,
REG-06,SUCCESS,859,51316,0.5,,
REG-04,SUCCESS,944,57646,0.53,,
REG-07,SUCCESS,44,15,0.02,,
REG-05,SUCCESS,1179,74114,0.69,,
REG-08,SUCCESS,766,45498,0.42,,
REG-09,SUCCESS,720,45010,0.42,,
REG-11,SUCCESS,76,4948,0.03,,
REG-10,SUCCESS,950,59209,0.53,,
REG-12,SUCCESS,644,40170,0.38,,
REG-13,SUCCESS,961,50396,0.53,,
ACT-07,SUCCESS,4215,257976,2.97,,
REG-14,SUCCESS,1107,67477,0.61,,
REG-15,SUCCESS,950,56092,0.52,,
