document_id,points_indexed,status,error
ACT-01,325,SUCCESS,
ACT-02,1517,SUCCESS,
ACT-03,617,SUCCESS,
ACT-04,1489,SUCCESS,
ACT-05,95,SUCCESS,
ACT-06,412,SUCCESS,
ACT-07,10831,SUCCESS,
ACT-08,486,SUCCESS,
ACT-09,1538,SUCCESS,
ACT-10,124,SUCCESS,
ACT-11,282,SUCCESS,
ACT-12,155,SUCCESS,
ACT-13,536,SUCCESS,
ACT-14,96,SUCCESS,
ACT-15,191,SUCCESS,
ACT-16,2072,SUCCESS,
ACT-17,73,SUCCESS,
ACT-18,73,SUCCESS,
ACT-19,23,SUCCESS,
ACT-20,428,SUCCESS,
JUDG-01,14,SUCCESS,
JUDG-02,7,SUCCESS,
JUDG-03,68,SUCCESS,
JUDG-04,13,SUCCESS,
JUDG-05,29,SUCCESS,
JUDG-06,9,SUCCESS,
JUDG-07,9,SUCCESS,
JUDG-08,42,SUCCESS,
JUDG-09,75,SUCCESS,
JUDG-10,1,SUCCESS,
JUDG-11,1,SUCCESS,
JUDG-12,7,SUCCESS,
JUDG-13,6,SUCCESS,
JUDG-14,6,SUCCESS,
JUDG-15,35,SUCCESS,
JUDG-16,6,SUCCESS,
JUDG-17,6,SUCCESS,
JUDG-18,36,SUCCESS,
JUDG-19,6,SUCCESS,
JUDG-20,45,SUCCESS,
JUDG-21,9,SUCCESS,
JUDG-22,40,SUCCESS,
JUDG-23,19,SUCCESS,
JUDG-24,3,SUCCESS,
JUDG-25,53,SUCCESS,
IRS-01,15,SUCCESS,
IRS-02,212,SUCCESS,
IRS-03,85,SUCCESS,
IRS-04,96,SUCCESS,
IRS-05,1040,SUCCESS,
IRS-06,834,SUCCESS,
IRS-07,211,SUCCESS,
IRS-08,173,SUCCESS,
IRS-09,193,SUCCESS,
IRS-10,105,SUCCESS,
IRS-11,290,SUCCESS,
IRS-12,91,SUCCESS,
IRS-13,296,SUCCESS,
IRS-14,82,SUCCESS,
IRS-15,78,SUCCESS,
IRS-16,43,SUCCESS,
IRS-17,210,SUCCESS,
IRS-18,79,SUCCESS,
IRS-19,85,SUCCESS,
IRS-20,184,SUCCESS,
IRS-21,331,SUCCESS,
IRS-22,75,SUCCESS,
IRS-23,55,SUCCESS,
IRS-24,153,SUCCESS,
IRS-25,281,SUCCESS,
COM-01,24,SUCCESS,
COM-02,367,SUCCESS,
COM-03,5,SUCCESS,
COM-04,5,SUCCESS,
COM-05,29,SUCCESS,
COM-06,7,SUCCESS,
COM-07,4,SUCCESS,
COM-08,4,SUCCESS,
COM-09,12,SUCCESS,
COM-10,2,SUCCESS,
COM-11,4,SUCCESS,
COM-12,16,SUCCESS,
COM-13,5,SUCCESS,
COM-14,5,SUCCESS,
COM-15,1,SUCCESS,
REG-01,1726,SUCCESS,
REG-02,1827,SUCCESS,
REG-03,1534,SUCCESS,
REG-04,2302,SUCCESS,
REG-05,2755,SUCCESS,
REG-06,2265,SUCCESS,
REG-07,112,SUCCESS,
REG-08,1669,SUCCESS,
REG-09,1819,SUCCESS,
REG-10,2390,SUCCESS,
REG-11,185,SUCCESS,
REG-12,1541,SUCCESS,
REG-13,2291,SUCCESS,
REG-14,2631,SUCCESS,
REG-15,2330,SUCCESS,
